구별,소계,2011년 이전,2012년,2013년,2014년,2015년,2016년,2017년,2018년,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율
강남구,5221,1944.0,195.0,316.0,430,546,765,577,448,95.87521663778162,549043,544028,5015,70029,0.9134075108871255,12.75473869988325
강동구,1879,303.0,387.0,134.0,59,144,194,273,385,119.47904869762174,430522,426219,4303,61710,0.999484346909101,14.333762269988526
강북구,1265,243.0,88.0,141.0,74,145,254,1,319,145.23809523809524,317875,314090,3785,59808,1.1907196224931182,18.81494298073142
강서구,1617,219.0,155.0,118.0,230,187,190,264,254,155.81717451523548,600240,593708,6532,82937,1.08823137411702,13.817306410769026
관악구,3985,430.0,56.0,419.0,487,609,619,694,671,221.26436781609192,519953,502117,17836,74518,3.430310047254271,14.331679978767312
광진구,1581,470.0,42.0,83.0,87,64,21,468,346,144.57478005865104,368337,352692,15645,47347,4.247469029720066,12.854261179300478
구로구,3227,852.0,219.0,349.0,187,268,326,540,486,112.44555071561916,439850,406748,33102,64952,7.5257474138911,14.766852336023645
금천구,1634,27.0,17.0,242.0,101,382,136,199,530,348.3204134366925,252868,233371,19497,37191,7.71034690035908,14.707673568818514
노원구,1906,481.0,117.0,203.0,80,461,298,110,156,125.42565266742338,539829,535282,4547,79968,0.8423037665631153,14.81357985584324
도봉구,858,197.0,66.0,8.0,185,59,155,117,71,128.7280701754386,337594,335280,2314,58070,0.6854387222521727,17.20113509126347
동대문구,2003,0.0,0.0,0.0,1326,111,233,136,197,151.0558069381599,363779,346551,17228,58764,4.735842365832003,16.15376368619409
동작구,1780,238.0,93.0,29.0,503,130,254,278,255,164.5422943221321,410487,397618,12869,61607,3.1350566522204115,15.008270663869988
마포구,1935,585.0,108.0,69.0,70,177,359,372,195,140.9855769230769,385605,373629,11976,51961,3.1057688567316295,13.475188340400152
서대문구,2121,565.0,233.0,214.0,114,109,277,415,194,98.49023090586145,324089,310069,14020,51708,4.325972186652431,15.954876592540938
서초구,2835,1172.0,91.0,228.0,134,215,352,247,396,82.7076923076923,435258,431027,4231,56455,0.9720671417871699,12.970468090190185
성동구,2679,665.0,109.0,118.0,101,258,201,933,294,179.95971802618328,311290,303158,8132,43662,2.612355038709885,14.026149249895594
성북구,3003,779.0,84.0,304.0,241,279,388,285,643,130.39772727272728,454114,441590,12524,70204,2.7578977965885216,15.459554208855044
송파구,1586,600.0,99.0,88.0,21,166,100,116,396,98.88613861386139,684338,677489,6849,86062,1.0008212316136178,12.575949311597483
양천구,2775,772.0,161.0,185.0,169,172,349,137,830,128.74902874902875,463931,459849,4082,60487,0.8798722223778968,13.03793020944925
영등포구,2495,132.0,121.0,206.0,217,366,289,371,793,301.1834319526627,402478,368402,34076,57350,8.46654972445699,14.249226044653373
용산구,2063,1279.0,152.0,201.0,107,102,89,60,73,24.78435882691202,244989,228830,16159,38531,6.595806342325574,15.72764491466964
은평구,2962,1365.0,83.0,99.0,343,180,296,229,367,74.86772486772487,486159,481663,4496,79957,0.9248003225282263,16.44667691022896
종로구,1471,8.0,7.0,599.0,132,195,148,281,101,114.87935656836461,162860,151767,11093,27394,6.81137173032052,16.820582095050966
중구,1544,25.0,165.0,114.0,80,245,270,317,328,322.91666666666663,136663,126409,10254,23025,7.503128132705999,16.84801299547061
중랑구,1068,0.0,0.0,0.0,770,102,121,66,9,138.7012987012987,403776,398812,4964,64449,1.2293945157711206,15.961572753209701
